Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 10:50:00,10.000,Y,116.00,118.52,119.94,0.00,0.00,0.13,2.86%,0.00,0.14%,2.04%,0.06%,1.42%,0.04%,1.02%,0.03%,0.84%,0.02%,0.18%,0.02%,0.29%,0.02%,0.26%,0.01%,0.10%,0.02%,0.08%,0.01%,0.08%,0.01%,0.06%,0.01%,0.06%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.24,117.96,120.42,0.25,0.51,0.60,2.52%,0.41,0.14%,1.86%,0.05%,1.29%,0.03%,0.88%,0.03%,0.57%,0.02%,0.11%,0.02%,0.17%,0.01%,0.05%,0.01%,0.05%,0.01%,0.04%,0.01%,0.04%,0.01%,0.08%,0.01%,0.05%,0.00,0.26,0.00,0.22,0.00,0.17,0.00,0.12,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,232.82,235.20,237.08,0.00,0.00,0.00,2.65%,0.00,0.14%,1.95%,0.05%,1.34%,0.03%,0.91%,0.03%,0.70%,0.02%,0.14%,0.02%,0.21%,0.01%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60,-0.531,36,0,59.96,60.01,60.07
23-Jul-2018 11:00:00,10.000,Y,117.14,119.38,120.98,0.00,0.00,0.14,2.67%,0.00,0.11%,1.89%,0.04%,1.31%,0.03%,0.98%,0.02%,0.84%,0.02%,0.14%,0.02%,0.28%,0.01%,0.22%,0.01%,0.08%,0.01%,0.07%,0.01%,0.07%,0.01%,0.03%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.46,116.68,118.82,0.28,0.51,0.67,2.63%,0.41,0.11%,1.96%,0.04%,1.35%,0.03%,0.89%,0.02%,0.59%,0.02%,0.15%,0.02%,0.18%,0.01%,0.04%,0.01%,0.05%,0.01%,0.05%,0.01%,0.04%,0.01%,0.06%,0.01%,0.03%,0.00,0.26,0.00,0.22,0.00,0.17,0.00,0.12,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,232.92,234.78,236.98,0.00,0.00,0.00,2.62%,0.00,0.11%,1.92%,0.04%,1.32%,0.03%,0.90%,0.02%,0.71%,0.02%,0.15%,0.02%,0.21%,0.01%,0.12%,0.01%,0.06%,0.01%,0.02%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60,-0.533,36,0,59.94,59.99,60.04
23-Jul-2018 11:10:00,10.000,Y,118.26,119.78,121.08,0.00,0.00,0.14,2.83%,0.00,0.12%,1.98%,0.05%,1.39%,0.03%,1.05%,0.03%,0.88%,0.02%,0.14%,0.02%,0.36%,0.02%,0.26%,0.01%,0.08%,0.02%,0.12%,0.02%,0.10%,0.01%,0.04%,0.02%,0.06%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.60,116.74,118.20,0.24,0.51,0.63,2.63%,0.41,0.12%,1.97%,0.05%,1.35%,0.03%,0.88%,0.02%,0.54%,0.02%,0.15%,0.02%,0.17%,0.01%,0.03%,0.01%,0.05%,0.01%,0.07%,0.01%,0.06%,0.01%,0.08%,0.01%,0.04%,0.00,0.26,0.00,0.22,0.00,0.17,0.00,0.12,0.00,0.08,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,233.42,235.24,236.30,0.00,0.00,0.00,2.69%,0.00,0.12%,1.98%,0.05%,1.36%,0.03%,0.93%,0.02%,0.71%,0.02%,0.14%,0.02%,0.23%,0.01%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60,-0.531,36,0,59.94,60.00,60.07
23-Jul-2018 11:20:00,10.000,Y,115.14,118.80,120.68,0.00,0.00,0.14,2.85%,0.00,0.11%,2.03%,0.04%,1.41%,0.03%,1.00%,0.02%,0.86%,0.02%,0.15%,0.02%,0.35%,0.01%,0.25%,0.01%,0.05%,0.01%,0.15%,0.01%,0.09%,0.01%,0.04%,0.01%,0.08%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.88,117.08,119.30,0.32,0.56,1.93,2.56%,0.41,0.11%,1.97%,0.04%,1.28%,0.03%,0.84%,0.02%,0.50%,0.02%,0.14%,0.01%,0.18%,0.01%,0.03%,0.01%,0.04%,0.01%,0.07%,0.01%,0.05%,0.01%,0.08%,0.01%,0.06%,0.00,0.26,0.00,0.21,0.00,0.17,0.00,0.12,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,231.90,234.60,236.28,0.00,0.00,0.00,2.67%,0.00,0.11%,2.00%,0.04%,1.34%,0.03%,0.88%,0.02%,0.68%,0.02%,0.14%,0.01%,0.23%,0.01%,0.13%,0.01%,0.04%,0.01%,0.05%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60,-0.567,36,0,59.95,59.99,60.04
23-Jul-2018 11:30:00,10.000,Y,112.06,115.54,120.60,0.00,0.00,0.14,2.80%,0.00,0.12%,2.07%,0.05%,1.35%,0.03%,0.91%,0.02%,0.82%,0.02%,0.14%,0.02%,0.32%,0.01%,0.22%,0.01%,0.08%,0.01%,0.11%,0.01%,0.07%,0.01%,0.03%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.80,119.40,121.58,0.45,0.88,1.08,2.68%,0.40,0.12%,1.98%,0.05%,1.40%,0.03%,0.93%,0.02%,0.56%,0.02%,0.13%,0.02%,0.21%,0.01%,0.03%,0.01%,0.04%,0.01%,0.06%,0.01%,0.06%,0.01%,0.07%,0.01%,0.05%,0.00,0.26,0.00,0.21,0.00,0.17,0.00,0.12,0.00,0.07,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,231.36,233.62,236.56,0.00,0.00,0.00,2.69%,0.00,0.12%,2.02%,0.05%,1.36%,0.03%,0.87%,0.02%,0.67%,0.02%,0.13%,0.02%,0.21%,0.01%,0.12%,0.01%,0.06%,0.01%,0.03%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,108,-0.824,84,0,59.96,59.99,60.04
23-Jul-2018 11:40:00,10.000,Y,118.46,119.92,121.30,0.00,0.00,0.14,2.86%,0.00,0.10%,2.08%,0.04%,1.39%,0.03%,0.93%,0.02%,0.90%,0.02%,0.12%,0.02%,0.31%,0.01%,0.26%,0.01%,0.11%,0.01%,0.09%,0.01%,0.07%,0.01%,0.04%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.50,117.60,119.30,0.27,0.64,3.09,2.72%,0.40,0.11%,2.02%,0.04%,1.42%,0.03%,0.92%,0.02%,0.58%,0.02%,0.14%,0.01%,0.20%,0.01%,0.04%,0.01%,0.04%,0.01%,0.04%,0.01%,0.04%,0.01%,0.07%,0.01%,0.05%,0.00,0.26,0.00,0.21,0.00,0.16,0.00,0.12,0.00,0.08,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,234.44,236.22,237.36,0.00,0.00,0.00,2.77%,0.00,0.10%,2.05%,0.04%,1.40%,0.03%,0.90%,0.02%,0.74%,0.02%,0.13%,0.01%,0.22%,0.01%,0.15%,0.01%,0.07%,0.01%,0.03%,0.01%,0.04%,0.01%,0.04%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72,-0.606,48,0,59.92,59.98,60.04
23-Jul-2018 11:50:00,10.000,Y,114.98,118.52,121.26,0.02,2.59,4.99,2.94%,0.08,0.13%,2.11%,0.05%,1.47%,0.03%,0.98%,0.03%,0.89%,0.02%,0.15%,0.02%,0.31%,0.02%,0.28%,0.01%,0.10%,0.01%,0.11%,0.01%,0.09%,0.01%,0.05%,0.01%,0.03%,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.78,118.00,119.74,0.33,0.60,9.86,2.69%,0.40,0.13%,2.04%,0.05%,1.37%,0.03%,0.87%,0.03%,0.57%,0.02%,0.15%,0.02%,0.21%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.01%,0.06%,0.01%,0.06%,0.01%,0.05%,0.00,0.25,0.00,0.21,0.00,0.16,0.00,0.12,0.00,0.07,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,232.62,235.24,236.46,0.00,0.00,0.00,2.79%,0.00,0.13%,2.08%,0.05%,1.41%,0.03%,0.89%,0.03%,0.73%,0.02%,0.15%,0.02%,0.22%,0.01%,0.15%,0.01%,0.05%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360,-0.816,348,0,59.95,60.01,60.06
23-Jul-2018 12:00:00,10.000,Y,118.04,119.66,120.88,0.00,0.00,0.35,2.91%,0.00,0.12%,2.11%,0.05%,1.46%,0.03%,0.93%,0.03%,0.89%,0.02%,0.18%,0.02%,0.29%,0.01%,0.25%,0.01%,0.09%,0.01%,0.08%,0.01%,0.08%,0.01%,0.05%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.02,116.38,118.26,1.43,11.41,23.17,2.84%,0.61,0.12%,2.12%,0.04%,1.43%,0.03%,0.99%,0.02%,0.64%,0.02%,0.15%,0.02%,0.26%,0.01%,0.04%,0.01%,0.03%,0.01%,0.05%,0.01%,0.06%,0.01%,0.06%,0.01%,0.03%,0.03,0.49,0.01,0.25,0.01,0.21,0.01,0.11,0.00,0.05,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,232.90,234.76,236.32,0.00,0.00,0.00,2.85%,0.00,0.12%,2.11%,0.04%,1.44%,0.03%,0.94%,0.02%,0.76%,0.02%,0.16%,0.02%,0.25%,0.01%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.04%,0.01%,0.04%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1320,0.902,1296,96,59.95,60.00,60.06
23-Jul-2018 12:10:00,10.000,Y,117.22,119.50,121.80,0.00,0.00,0.35,3.08%,0.00,0.12%,2.28%,0.05%,1.54%,0.03%,0.93%,0.02%,0.88%,0.02%,0.23%,0.02%,0.33%,0.01%,0.25%,0.01%,0.08%,0.01%,0.11%,0.01%,0.10%,0.01%,0.04%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.50,117.86,119.50,1.60,1.81,4.60,2.85%,0.44,0.11%,2.12%,0.05%,1.46%,0.03%,0.98%,0.02%,0.65%,0.02%,0.13%,0.02%,0.24%,0.01%,0.05%,0.01%,0.04%,0.01%,0.06%,0.01%,0.07%,0.01%,0.07%,0.01%,0.05%,0.03,0.34,0.01,0.24,0.01,0.11,0.00,0.05,0.00,0.01,0.00,0.04,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.02,0.00,0.02,0.00,0.01,234.08,236.08,238.40,0.00,0.00,0.00,2.94%,0.00,0.11%,2.20%,0.04%,1.49%,0.03%,0.93%,0.02%,0.75%,0.02%,0.18%,0.01%,0.27%,0.01%,0.14%,0.01%,0.05%,0.01%,0.03%,0.01%,0.04%,0.01%,0.05%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,216,0.824,180,108,59.94,59.99,60.05
23-Jul-2018 12:20:00,10.000,Y,119.42,120.82,121.96,0.00,0.00,0.35,2.95%,0.00,0.13%,2.09%,0.05%,1.53%,0.03%,0.97%,0.03%,0.89%,0.02%,0.23%,0.02%,0.29%,0.01%,0.23%,0.01%,0.12%,0.01%,0.09%,0.01%,0.10%,0.01%,0.05%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.86,118.38,119.48,1.65,3.36,13.03,2.89%,0.82,0.13%,2.13%,0.05%,1.49%,0.03%,0.95%,0.02%,0.70%,0.02%,0.14%,0.02%,0.28%,0.01%,0.06%,0.01%,0.03%,0.01%,0.06%,0.01%,0.05%,0.01%,0.06%,0.01%,0.04%,0.11,0.71,0.03,0.33,0.01,0.14,0.01,0.07,0.00,0.02,0.00,0.04,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,236.14,237.92,239.26,0.00,0.00,0.00,2.91%,0.00,0.13%,2.11%,0.05%,1.51%,0.03%,0.96%,0.02%,0.79%,0.02%,0.18%,0.02%,0.27%,0.01%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.04%,0.01%,0.05%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,396,0.873,360,120,59.88,59.99,60.07
