Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 11:30:00,10.000,Y,118.08,119.70,120.62,0.00,0.00,0.14,2.58%,0.00,0.13%,1.87%,0.06%,1.28%,0.03%,0.90%,0.03%,0.77%,0.02%,0.07%,0.02%,0.24%,0.02%,0.18%,0.01%,0.06%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.28,118.02,118.92,2.34,2.45,2.52,2.49%,0.14,0.11%,1.81%,0.04%,1.29%,0.03%,0.86%,0.03%,0.68%,0.02%,0.13%,0.01%,0.18%,0.01%,0.09%,0.01%,0.03%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.05,0.07,0.01,0.07,0.00,0.06,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,234.30,236.46,237.74,0.00,0.00,0.00,2.53%,0.00,0.12%,1.84%,0.04%,1.28%,0.03%,0.88%,0.03%,0.73%,0.02%,0.10%,0.01%,0.21%,0.02%,0.13%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288,0.580,168,240,59.96,60.00,60.04
23-Jul-2018 11:40:00,10.000,Y,117.08,119.76,122.42,0.00,0.00,0.14,2.51%,0.00,0.10%,1.85%,0.05%,1.23%,0.03%,0.85%,0.02%,0.71%,0.02%,0.09%,0.01%,0.22%,0.02%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,114.16,117.82,119.32,2.34,3.54,10.87,2.55%,0.16,0.10%,1.85%,0.04%,1.32%,0.03%,0.85%,0.02%,0.72%,0.02%,0.15%,0.01%,0.18%,0.01%,0.10%,0.01%,0.04%,0.01%,0.02%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.05,0.09,0.01,0.07,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,234.02,236.34,237.88,0.00,0.00,0.00,2.52%,0.00,0.10%,1.85%,0.04%,1.28%,0.02%,0.85%,0.02%,0.71%,0.02%,0.12%,0.01%,0.20%,0.01%,0.12%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,408,0.634,300,228,59.94,59.99,60.04
23-Jul-2018 11:50:00,10.000,Y,118.24,120.12,120.92,0.00,0.00,0.14,2.84%,0.00,0.13%,2.09%,0.05%,1.42%,0.03%,0.94%,0.02%,0.80%,0.02%,0.10%,0.02%,0.23%,0.02%,0.19%,0.01%,0.05%,0.01%,0.06%,0.01%,0.02%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.16,118.52,119.98,2.41,2.66,2.91,2.51%,0.15,0.13%,1.81%,0.05%,1.30%,0.03%,0.84%,0.02%,0.72%,0.02%,0.12%,0.02%,0.17%,0.01%,0.10%,0.01%,0.02%,0.01%,0.02%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.05,0.07,0.01,0.07,0.00,0.06,0.00,0.03,0.00,0.02,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,235.84,237.38,238.44,0.00,0.00,0.00,2.67%,0.00,0.13%,1.95%,0.05%,1.36%,0.03%,0.89%,0.02%,0.76%,0.02%,0.11%,0.02%,0.20%,0.01%,0.14%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312,0.673,216,228,59.92,60.00,60.06
23-Jul-2018 12:00:00,10.000,Y,118.58,120.62,121.48,0.00,0.00,0.14,2.83%,0.00,0.12%,2.06%,0.04%,1.39%,0.03%,0.99%,0.02%,0.84%,0.02%,0.10%,0.01%,0.26%,0.01%,0.18%,0.01%,0.04%,0.01%,0.05%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.96,119.20,120.02,2.57,2.67,2.94,2.51%,0.14,0.12%,1.80%,0.04%,1.28%,0.03%,0.86%,0.02%,0.75%,0.02%,0.13%,0.01%,0.18%,0.01%,0.10%,0.01%,0.03%,0.01%,0.02%,0.01%,0.04%,0.01%,0.04%,0.01%,0.02%,0.05,0.07,0.01,0.07,0.00,0.06,0.00,0.03,0.00,0.02,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,236.98,238.54,239.26,0.00,0.00,0.00,2.67%,0.00,0.12%,1.93%,0.04%,1.34%,0.03%,0.92%,0.02%,0.79%,0.02%,0.11%,0.01%,0.22%,0.01%,0.14%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312,0.673,216,240,59.95,60.00,60.05
23-Jul-2018 12:10:00,10.000,Y,118.80,120.68,121.84,0.00,0.00,0.14,2.90%,0.00,0.11%,2.12%,0.05%,1.45%,0.03%,0.98%,0.03%,0.85%,0.02%,0.10%,0.02%,0.27%,0.02%,0.17%,0.01%,0.02%,0.01%,0.06%,0.01%,0.03%,0.01%,0.02%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.70,120.02,120.72,2.57,2.72,4.59,2.65%,0.14,0.11%,1.92%,0.04%,1.37%,0.03%,0.87%,0.02%,0.76%,0.02%,0.15%,0.01%,0.23%,0.01%,0.13%,0.01%,0.02%,0.01%,0.02%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.05,0.09,0.01,0.07,0.00,0.06,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,237.52,239.44,240.14,0.00,0.00,0.00,2.77%,0.00,0.11%,2.02%,0.04%,1.41%,0.03%,0.92%,0.02%,0.81%,0.02%,0.12%,0.01%,0.24%,0.01%,0.14%,0.01%,0.02%,0.01%,0.03%,0.01%,0.03%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324,0.677,216,240,59.94,59.99,60.03
23-Jul-2018 12:20:00,10.000,Y,118.44,120.14,121.18,0.00,0.00,0.23,2.87%,0.00,0.13%,2.05%,0.05%,1.47%,0.03%,0.98%,0.02%,0.85%,0.02%,0.10%,0.02%,0.28%,0.02%,0.15%,0.01%,0.02%,0.01%,0.06%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.60,120.94,121.52,2.85,2.98,3.09,2.57%,0.14,0.12%,1.87%,0.05%,1.31%,0.03%,0.83%,0.02%,0.76%,0.02%,0.18%,0.01%,0.22%,0.01%,0.13%,0.01%,0.02%,0.01%,0.04%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.05,0.10,0.01,0.03,0.00,0.06,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,238.02,239.80,240.72,0.00,0.00,0.00,2.71%,0.00,0.12%,1.96%,0.05%,1.38%,0.03%,0.90%,0.02%,0.80%,0.02%,0.14%,0.01%,0.25%,0.01%,0.14%,0.01%,0.02%,0.01%,0.04%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,360,0.756,276,240,59.89,60.00,60.05
23-Jul-2018 12:30:00,10.000,Y,118.96,120.62,123.42,0.00,0.00,1.10,2.87%,0.00,0.13%,2.00%,0.05%,1.54%,0.03%,0.98%,0.02%,0.83%,0.02%,0.14%,0.02%,0.29%,0.01%,0.15%,0.01%,0.03%,0.01%,0.06%,0.01%,0.02%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,115.96,120.60,122.04,0.48,1.34,16.11,2.65%,0.16,0.13%,1.85%,0.05%,1.44%,0.03%,0.86%,0.02%,0.77%,0.02%,0.19%,0.02%,0.23%,0.01%,0.12%,0.01%,0.02%,0.01%,0.03%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.02,0.13,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,236.34,239.94,242.72,0.00,0.00,0.00,2.75%,0.00,0.12%,1.93%,0.05%,1.49%,0.03%,0.92%,0.02%,0.80%,0.02%,0.16%,0.02%,0.25%,0.01%,0.13%,0.01%,0.02%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,168,0.982,132,48,59.95,60.00,60.07
23-Jul-2018 12:40:00,10.000,Y,119.00,121.08,122.02,0.00,0.00,0.14,2.97%,0.00,0.11%,1.99%,0.04%,1.74%,0.02%,1.02%,0.02%,0.79%,0.02%,0.16%,0.01%,0.33%,0.01%,0.17%,0.01%,0.05%,0.01%,0.04%,0.01%,0.02%,0.01%,0.03%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117.02,118.90,120.48,2.51,2.62,2.72,2.76%,0.14,0.11%,1.93%,0.04%,1.55%,0.02%,0.90%,0.02%,0.73%,0.02%,0.24%,0.01%,0.20%,0.01%,0.11%,0.01%,0.04%,0.01%,0.04%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.05,0.09,0.01,0.06,0.00,0.05,0.00,0.02,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,237.20,238.72,239.48,0.00,0.00,0.00,2.86%,0.00,0.11%,1.96%,0.04%,1.65%,0.02%,0.96%,0.02%,0.76%,0.02%,0.19%,0.01%,0.26%,0.01%,0.14%,0.01%,0.04%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,312,0.681,216,228,59.96,60.00,60.04
23-Jul-2018 12:50:00,10.000,Y,119.40,120.54,121.42,0.00,0.00,0.15,3.05%,0.00,0.11%,2.04%,0.04%,1.74%,0.03%,1.11%,0.02%,0.86%,0.02%,0.13%,0.02%,0.31%,0.01%,0.17%,0.01%,0.05%,0.01%,0.03%,0.01%,0.02%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.52,120.12,120.90,0.47,1.65,2.70,2.83%,0.12,0.12%,1.92%,0.05%,1.66%,0.03%,0.92%,0.02%,0.75%,0.02%,0.21%,0.01%,0.24%,0.01%,0.12%,0.01%,0.04%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.03,0.09,0.01,0.05,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,237.96,239.38,240.34,0.00,0.00,0.00,2.93%,0.00,0.11%,1.98%,0.04%,1.70%,0.03%,1.01%,0.02%,0.80%,0.02%,0.16%,0.01%,0.27%,0.01%,0.14%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,192,0.886,144,108,59.95,59.99,60.04
23-Jul-2018 13:00:00,10.000,Y,119.10,120.18,120.78,0.00,0.00,0.14,3.03%,0.00,0.13%,1.96%,0.05%,1.75%,0.04%,1.15%,0.03%,0.85%,0.02%,0.15%,0.02%,0.32%,0.02%,0.16%,0.01%,0.05%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.28,120.62,121.30,0.47,0.55,0.64,2.76%,0.11,0.13%,1.86%,0.05%,1.59%,0.03%,0.94%,0.03%,0.76%,0.02%,0.24%,0.02%,0.25%,0.01%,0.12%,0.01%,0.04%,0.01%,0.05%,0.01%,0.04%,0.01%,0.04%,0.01%,0.01%,0.00,0.09,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,237.76,239.54,240.36,0.00,0.00,0.00,2.88%,0.00,0.13%,1.90%,0.05%,1.67%,0.03%,1.04%,0.03%,0.81%,0.02%,0.19%,0.02%,0.28%,0.01%,0.14%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72,-0.873,60,-12,59.95,60.00,60.04
