Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 11:10:00,10.000,Y,118.82,120.02,120.66,1.13,2.69,7.04,2.60%,0.16,0.12%,1.88%,0.05%,1.29%,0.03%,0.92%,0.02%,0.77%,0.02%,0.17%,0.02%,0.24%,0.01%,0.12%,0.01%,0.07%,0.01%,0.06%,0.01%,0.05%,0.01%,0.03%,0.01%,0.04%,0.00,0.13,0.00,0.07,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,118.16,119.52,120.32,0.00,0.00,0.14,2.37%,0.00,0.12%,1.74%,0.05%,1.19%,0.03%,0.81%,0.02%,0.66%,0.02%,0.06%,0.01%,0.20%,0.01%,0.12%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.28,238.62,239.26,0.00,0.00,0.00,2.48%,0.00,0.12%,1.81%,0.05%,1.24%,0.03%,0.86%,0.02%,0.71%,0.02%,0.12%,0.01%,0.22%,0.01%,0.12%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324,-0.990,324,0,59.96,60.00,60.05
23-Jul-2018 11:20:00,10.000,Y,118.08,119.50,120.36,1.11,2.23,11.25,2.71%,0.59,0.11%,1.98%,0.04%,1.37%,0.03%,0.95%,0.02%,0.72%,0.02%,0.15%,0.01%,0.23%,0.01%,0.14%,0.01%,0.07%,0.01%,0.04%,0.01%,0.04%,0.01%,0.03%,0.01%,0.04%,0.01,0.47,0.01,0.24,0.01,0.18,0.00,0.13,0.00,0.06,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.02,118.52,119.44,119.94,0.00,0.00,0.17,2.36%,0.00,0.11%,1.75%,0.04%,1.16%,0.03%,0.79%,0.02%,0.66%,0.02%,0.08%,0.01%,0.20%,0.01%,0.11%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.01%,0.04%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.56,238.04,239.22,0.00,0.00,0.00,2.53%,0.00,0.11%,1.87%,0.04%,1.26%,0.03%,0.87%,0.02%,0.69%,0.02%,0.11%,0.01%,0.22%,0.01%,0.12%,0.01%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,264,1.000,252,12,59.95,59.99,60.04
23-Jul-2018 11:30:00,10.000,Y,117.00,119.18,119.64,2.77,2.94,3.04,2.69%,0.82,0.13%,1.98%,0.05%,1.37%,0.03%,0.94%,0.02%,0.66%,0.02%,0.14%,0.02%,0.24%,0.01%,0.14%,0.01%,0.06%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.02,0.64,0.01,0.35,0.01,0.28,0.01,0.20,0.01,0.09,0.00,0.07,0.00,0.07,0.00,0.06,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.03,118.74,119.78,120.70,0.00,0.00,0.14,2.38%,0.00,0.12%,1.77%,0.05%,1.18%,0.03%,0.77%,0.03%,0.68%,0.02%,0.09%,0.02%,0.20%,0.01%,0.10%,0.01%,0.05%,0.01%,0.04%,0.01%,0.03%,0.01%,0.06%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.56,238.06,238.78,0.00,0.00,0.00,2.53%,0.00,0.13%,1.87%,0.05%,1.27%,0.03%,0.85%,0.02%,0.67%,0.02%,0.12%,0.02%,0.22%,0.01%,0.12%,0.01%,0.02%,0.01%,0.03%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.950,336,36,59.97,60.00,60.03
23-Jul-2018 11:40:00,10.000,Y,118.08,119.48,120.24,2.83,2.92,3.00,2.71%,0.84,0.11%,1.99%,0.04%,1.37%,0.03%,0.93%,0.02%,0.69%,0.02%,0.17%,0.02%,0.22%,0.01%,0.13%,0.01%,0.07%,0.01%,0.03%,0.01%,0.05%,0.01%,0.02%,0.01%,0.04%,0.02,0.64,0.01,0.37,0.01,0.28,0.01,0.20,0.01,0.09,0.00,0.08,0.00,0.08,0.00,0.07,0.00,0.05,0.00,0.03,0.00,0.03,0.00,0.03,118.52,119.66,120.10,0.00,0.00,0.14,2.52%,0.00,0.11%,1.89%,0.04%,1.24%,0.03%,0.80%,0.02%,0.73%,0.02%,0.08%,0.02%,0.22%,0.01%,0.12%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.06%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.80,238.24,239.10,0.00,0.00,0.00,2.61%,0.00,0.11%,1.94%,0.04%,1.31%,0.03%,0.87%,0.02%,0.71%,0.02%,0.13%,0.01%,0.22%,0.01%,0.12%,0.01%,0.03%,0.01%,0.03%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.948,336,36,59.94,59.99,60.04
23-Jul-2018 11:50:00,10.000,Y,118.64,119.90,120.62,2.76,2.88,2.96,2.84%,0.82,0.13%,2.03%,0.05%,1.48%,0.03%,1.00%,0.03%,0.75%,0.02%,0.13%,0.02%,0.27%,0.01%,0.20%,0.01%,0.08%,0.01%,0.06%,0.01%,0.07%,0.01%,0.03%,0.01%,0.03%,0.02,0.64,0.01,0.37,0.01,0.27,0.01,0.18,0.01,0.07,0.01,0.06,0.00,0.06,0.00,0.05,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,117.60,119.20,120.12,0.00,0.00,0.14,2.54%,0.00,0.13%,1.90%,0.04%,1.23%,0.03%,0.80%,0.03%,0.74%,0.02%,0.09%,0.02%,0.23%,0.01%,0.12%,0.01%,0.04%,0.01%,0.04%,0.01%,0.05%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.56,238.20,239.02,0.00,0.00,0.00,2.68%,0.00,0.13%,1.97%,0.04%,1.36%,0.03%,0.90%,0.02%,0.74%,0.02%,0.11%,0.02%,0.25%,0.01%,0.16%,0.01%,0.03%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.947,324,36,59.93,60.00,60.06
23-Jul-2018 12:00:00,10.000,Y,117.58,118.88,120.02,2.77,2.87,2.96,2.88%,0.82,0.12%,2.08%,0.05%,1.47%,0.03%,1.01%,0.03%,0.79%,0.02%,0.14%,0.02%,0.26%,0.01%,0.21%,0.01%,0.10%,0.01%,0.03%,0.01%,0.06%,0.01%,0.04%,0.01%,0.03%,0.02,0.65,0.01,0.37,0.01,0.27,0.01,0.17,0.01,0.06,0.00,0.05,0.00,0.06,0.00,0.05,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.02,118.36,120.16,121.18,0.00,0.00,0.14,2.51%,0.00,0.12%,1.83%,0.05%,1.24%,0.03%,0.83%,0.03%,0.76%,0.02%,0.10%,0.01%,0.25%,0.01%,0.12%,0.01%,0.03%,0.01%,0.05%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.72,238.12,238.88,0.00,0.00,0.00,2.69%,0.00,0.12%,1.95%,0.05%,1.36%,0.03%,0.92%,0.03%,0.77%,0.02%,0.12%,0.01%,0.25%,0.01%,0.16%,0.01%,0.04%,0.01%,0.04%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336,0.947,324,36,59.95,60.00,60.05
23-Jul-2018 12:10:00,10.000,Y,116.38,119.20,120.88,1.94,2.07,2.91,2.99%,0.87,0.10%,2.20%,0.04%,1.51%,0.03%,0.99%,0.02%,0.80%,0.02%,0.18%,0.01%,0.28%,0.01%,0.20%,0.01%,0.08%,0.01%,0.04%,0.01%,0.05%,0.01%,0.02%,0.01%,0.04%,0.01,0.70,0.01,0.39,0.01,0.27,0.01,0.15,0.01,0.06,0.00,0.07,0.00,0.07,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.03,0.00,0.03,118.40,120.16,121.40,0.00,0.00,0.14,2.57%,0.00,0.11%,1.89%,0.04%,1.29%,0.03%,0.83%,0.02%,0.76%,0.02%,0.09%,0.01%,0.27%,0.01%,0.13%,0.01%,0.04%,0.01%,0.03%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,236.34,238.44,240.12,0.00,0.00,0.00,2.78%,0.00,0.10%,2.04%,0.04%,1.40%,0.03%,0.91%,0.02%,0.78%,0.02%,0.13%,0.01%,0.28%,0.01%,0.16%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.01%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,240,-0.900,216,0,59.94,59.99,60.04
23-Jul-2018 12:20:00,10.000,Y,119.44,121.02,121.72,1.94,2.72,11.29,2.86%,0.83,0.12%,2.07%,0.05%,1.47%,0.03%,0.99%,0.02%,0.78%,0.02%,0.16%,0.02%,0.25%,0.01%,0.15%,0.01%,0.07%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.01%,0.04%,0.02,0.64,0.01,0.37,0.01,0.28,0.01,0.18,0.01,0.08,0.00,0.06,0.00,0.07,0.00,0.06,0.00,0.04,0.00,0.02,0.00,0.02,0.00,0.02,119.26,120.30,121.36,0.00,0.00,0.14,2.76%,0.00,0.13%,2.02%,0.05%,1.42%,0.03%,0.85%,0.02%,0.78%,0.02%,0.11%,0.02%,0.30%,0.02%,0.17%,0.01%,0.03%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,239.16,240.40,241.24,0.00,0.00,0.00,2.81%,0.00,0.12%,2.05%,0.05%,1.45%,0.03%,0.92%,0.02%,0.78%,0.02%,0.13%,0.01%,0.27%,0.01%,0.16%,0.01%,0.04%,0.01%,0.03%,0.01%,0.01%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,324,0.978,312,36,59.89,59.99,60.05
23-Jul-2018 12:30:00,10.000,Y,118.54,120.50,122.04,2.19,2.52,2.93,2.91%,0.83,0.13%,2.09%,0.05%,1.56%,0.03%,0.96%,0.03%,0.78%,0.02%,0.19%,0.02%,0.25%,0.01%,0.11%,0.01%,0.04%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.01%,0.05%,0.02,0.65,0.01,0.36,0.01,0.27,0.01,0.19,0.01,0.09,0.00,0.08,0.00,0.08,0.00,0.07,0.00,0.04,0.00,0.01,0.00,0.01,0.00,0.02,118.26,120.12,121.58,0.00,0.00,0.14,2.80%,0.00,0.12%,1.97%,0.05%,1.51%,0.03%,0.93%,0.03%,0.79%,0.02%,0.15%,0.02%,0.27%,0.01%,0.16%,0.01%,0.03%,0.01%,0.04%,0.01%,0.03%,0.01%,0.03%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.90,239.70,242.68,0.00,0.00,0.00,2.85%,0.00,0.12%,2.03%,0.05%,1.53%,0.03%,0.95%,0.02%,0.78%,0.02%,0.17%,0.02%,0.26%,0.01%,0.13%,0.01%,0.03%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,300,0.929,276,36,59.95,60.00,60.09
23-Jul-2018 12:40:00,10.000,Y,118.58,121.34,122.80,0.48,1.24,2.71,3.04%,0.45,0.12%,2.10%,0.04%,1.73%,0.03%,0.98%,0.03%,0.83%,0.02%,0.22%,0.02%,0.27%,0.01%,0.14%,0.01%,0.04%,0.01%,0.06%,0.01%,0.02%,0.01%,0.04%,0.01%,0.05%,0.01,0.38,0.00,0.16,0.00,0.13,0.00,0.09,0.00,0.04,0.00,0.05,0.00,0.05,0.00,0.03,0.00,0.02,0.00,0.02,0.00,0.01,0.00,0.01,113.46,116.32,119.96,0.03,25.88,37.96,2.93%,0.73,0.12%,2.01%,0.05%,1.73%,0.03%,0.94%,0.03%,0.72%,0.02%,0.19%,0.02%,0.27%,0.01%,0.14%,0.01%,0.02%,0.01%,0.03%,0.01%,0.01%,0.01%,0.03%,0.01%,0.01%,0.03,0.52,0.01,0.43,0.01,0.23,0.01,0.17,0.00,0.05,0.00,0.06,0.00,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,234.82,236.76,239.06,0.00,0.00,0.00,2.98%,0.00,0.12%,2.06%,0.04%,1.73%,0.03%,0.96%,0.03%,0.78%,0.02%,0.20%,0.02%,0.27%,0.01%,0.14%,0.01%,0.02%,0.01%,0.04%,0.01%,0.01%,0.01%,0.02%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3108,0.997,3096,0,59.96,60.00,60.04
