Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
24-Oct-2022 13:00:00,10.000,Y,119.70,122.60,123.94,0.00,0.00,1.04,3.11%,0.00,0.16%,1.94%,0.06%,2.32%,0.04%,0.47%,0.03%,0.34%,0.02%,0.12%,0.02%,0.08%,0.02%,0.26%,0.02%,0.12%,0.02%,0.04%,0.02%,0.03%,0.01%,0.09%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.46,120.96,122.62,4.37,7.14,16.57,2.71%,0.44,0.16%,1.69%,0.06%,1.94%,0.04%,0.61%,0.03%,0.37%,0.02%,0.12%,0.02%,0.13%,0.02%,0.26%,0.02%,0.10%,0.01%,0.03%,0.01%,0.08%,0.01%,0.10%,0.01%,0.05%,0.02,0.24,0.01,0.28,0.01,0.11,0.01,0.08,0.00,0.08,0.00,0.06,0.00,0.07,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.04,0.00,0.03,241.82,243.68,244.72,0.00,0.00,0.00,2.89%,0.00,0.16%,1.82%,0.06%,2.12%,0.04%,0.53%,0.03%,0.36%,0.02%,0.10%,0.02%,0.10%,0.02%,0.24%,0.01%,0.11%,0.01%,0.02%,0.01%,0.05%,0.01%,0.08%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,864,0.996,864,48,59.98,60.02,60.05
24-Oct-2022 13:10:00,10.000,Y,120.30,122.12,123.56,0.00,0.00,0.13,2.86%,0.00,0.14%,1.66%,0.06%,2.22%,0.04%,0.54%,0.02%,0.31%,0.02%,0.08%,0.02%,0.06%,0.02%,0.21%,0.01%,0.11%,0.01%,0.03%,0.01%,0.05%,0.01%,0.09%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.24,120.52,121.38,3.36,5.58,24.01,2.81%,0.42,0.14%,1.92%,0.06%,1.90%,0.04%,0.54%,0.02%,0.39%,0.02%,0.12%,0.02%,0.12%,0.02%,0.26%,0.01%,0.10%,0.01%,0.03%,0.01%,0.07%,0.01%,0.10%,0.01%,0.04%,0.03,0.13,0.01,0.32,0.01,0.14,0.00,0.08,0.00,0.08,0.00,0.06,0.00,0.06,0.00,0.07,0.00,0.05,0.00,0.03,0.00,0.04,0.00,0.03,241.26,242.78,243.62,0.00,0.00,0.00,2.82%,0.00,0.13%,1.79%,0.06%,2.05%,0.04%,0.53%,0.02%,0.35%,0.02%,0.09%,0.01%,0.09%,0.01%,0.23%,0.01%,0.10%,0.01%,0.01%,0.01%,0.05%,0.01%,0.07%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,672,0.900,624,180,59.94,60.00,60.05
24-Oct-2022 13:20:00,10.000,Y,120.90,122.48,124.08,0.00,0.00,1.01,2.83%,0.00,0.12%,1.63%,0.05%,2.18%,0.04%,0.60%,0.02%,0.32%,0.02%,0.07%,0.02%,0.09%,0.02%,0.22%,0.01%,0.10%,0.02%,0.05%,0.01%,0.09%,0.02%,0.10%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.02,120.84,121.82,3.33,3.53,3.66,2.80%,0.43,0.12%,1.91%,0.05%,1.92%,0.04%,0.46%,0.02%,0.35%,0.02%,0.14%,0.02%,0.10%,0.02%,0.24%,0.01%,0.12%,0.01%,0.05%,0.01%,0.05%,0.01%,0.10%,0.01%,0.05%,0.03,0.10,0.01,0.33,0.01,0.16,0.01,0.09,0.00,0.09,0.00,0.06,0.00,0.06,0.00,0.07,0.00,0.05,0.00,0.03,0.00,0.03,0.00,0.03,241.82,243.46,244.50,0.00,0.00,0.00,2.79%,0.00,0.12%,1.76%,0.05%,2.04%,0.03%,0.52%,0.02%,0.33%,0.02%,0.08%,0.02%,0.08%,0.01%,0.22%,0.01%,0.08%,0.01%,0.02%,0.01%,0.05%,0.01%,0.06%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,432,0.854,360,216,59.96,60.00,60.06
24-Oct-2022 13:30:00,10.000,Y,120.76,123.00,124.46,0.00,0.00,0.97,2.89%,0.00,0.15%,1.76%,0.06%,2.18%,0.04%,0.48%,0.03%,0.34%,0.02%,0.09%,0.02%,0.05%,0.02%,0.19%,0.02%,0.16%,0.02%,0.04%,0.01%,0.03%,0.01%,0.14%,0.02%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.36,120.74,122.32,3.28,3.50,3.74,2.82%,0.40,0.16%,1.84%,0.07%,2.00%,0.04%,0.57%,0.03%,0.32%,0.03%,0.05%,0.02%,0.12%,0.02%,0.24%,0.02%,0.04%,0.01%,0.03%,0.01%,0.07%,0.01%,0.04%,0.01%,0.03%,0.03,0.09,0.01,0.30,0.01,0.15,0.01,0.08,0.00,0.08,0.00,0.06,0.00,0.06,0.00,0.07,0.00,0.05,0.00,0.03,0.00,0.03,0.00,0.02,242.28,243.86,246.66,0.00,0.00,0.00,2.83%,0.00,0.15%,1.79%,0.06%,2.08%,0.04%,0.52%,0.03%,0.33%,0.02%,0.06%,0.02%,0.08%,0.02%,0.21%,0.01%,0.09%,0.01%,0.02%,0.01%,0.04%,0.01%,0.07%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,0.852,360,216,59.95,60.01,60.06
24-Oct-2022 13:40:00,10.000,Y,120.34,122.88,124.00,0.00,0.00,0.94,2.98%,0.00,0.14%,1.88%,0.05%,2.21%,0.04%,0.44%,0.02%,0.31%,0.02%,0.10%,0.01%,0.07%,0.01%,0.24%,0.01%,0.16%,0.02%,0.04%,0.01%,0.04%,0.01%,0.12%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.44,120.40,123.58,3.19,3.50,4.05,2.63%,0.42,0.12%,1.63%,0.05%,1.91%,0.03%,0.59%,0.02%,0.33%,0.02%,0.05%,0.02%,0.12%,0.01%,0.22%,0.01%,0.05%,0.01%,0.04%,0.01%,0.07%,0.01%,0.04%,0.01%,0.04%,0.03,0.13,0.01,0.32,0.01,0.16,0.01,0.08,0.00,0.08,0.00,0.06,0.00,0.06,0.00,0.07,0.00,0.05,0.00,0.03,0.00,0.03,0.00,0.02,241.48,243.40,245.70,0.00,0.00,0.00,2.79%,0.00,0.13%,1.75%,0.05%,2.06%,0.03%,0.51%,0.02%,0.32%,0.02%,0.05%,0.01%,0.09%,0.01%,0.22%,0.01%,0.09%,0.01%,0.02%,0.01%,0.05%,0.01%,0.07%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,420,0.856,360,216,59.95,60.00,60.03
24-Oct-2022 13:50:00,10.000,Y,120.20,123.40,124.72,0.00,0.00,1.02,2.90%,0.00,0.15%,1.73%,0.06%,2.20%,0.04%,0.47%,0.02%,0.34%,0.02%,0.11%,0.02%,0.11%,0.02%,0.24%,0.02%,0.20%,0.02%,0.09%,0.02%,0.06%,0.01%,0.14%,0.02%,0.08%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.80,120.94,123.50,3.42,4.03,4.92,2.74%,0.83,0.15%,1.85%,0.06%,1.87%,0.04%,0.57%,0.03%,0.36%,0.02%,0.11%,0.02%,0.07%,0.02%,0.19%,0.01%,0.10%,0.01%,0.09%,0.01%,0.06%,0.01%,0.06%,0.01%,0.04%,0.03,0.54,0.01,0.53,0.01,0.24,0.01,0.09,0.01,0.08,0.00,0.06,0.00,0.05,0.00,0.06,0.00,0.05,0.00,0.03,0.00,0.03,0.00,0.02,243.04,244.48,245.40,0.00,0.00,0.00,2.79%,0.00,0.15%,1.78%,0.06%,2.03%,0.04%,0.51%,0.02%,0.34%,0.02%,0.09%,0.01%,0.05%,0.01%,0.21%,0.01%,0.10%,0.01%,0.04%,0.01%,0.05%,0.01%,0.08%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,492,0.883,432,204,59.96,60.00,60.04
24-Oct-2022 14:00:00,10.000,Y,122.46,123.82,124.80,0.00,0.00,1.07,2.86%,0.00,0.14%,1.67%,0.06%,2.20%,0.04%,0.46%,0.02%,0.34%,0.02%,0.15%,0.02%,0.13%,0.02%,0.19%,0.02%,0.21%,0.01%,0.14%,0.02%,0.10%,0.01%,0.19%,0.02%,0.12%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.16,121.46,122.30,4.26,4.93,6.44,2.91%,1.28,0.13%,2.09%,0.06%,1.86%,0.04%,0.60%,0.02%,0.36%,0.02%,0.12%,0.02%,0.15%,0.01%,0.24%,0.01%,0.09%,0.01%,0.14%,0.02%,0.11%,0.01%,0.05%,0.02%,0.06%,0.03,0.94,0.02,0.73,0.02,0.41,0.02,0.17,0.01,0.06,0.01,0.07,0.01,0.07,0.01,0.05,0.01,0.02,0.00,0.04,0.00,0.04,0.00,0.01,244.16,245.42,246.06,0.00,0.00,0.00,2.81%,0.00,0.13%,1.86%,0.06%,1.99%,0.04%,0.50%,0.02%,0.35%,0.02%,0.10%,0.01%,0.04%,0.01%,0.20%,0.01%,0.09%,0.01%,0.04%,0.01%,0.03%,0.01%,0.09%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,0.896,540,216,59.95,60.00,60.05
24-Oct-2022 14:10:00,10.000,Y,121.76,123.86,124.74,0.00,0.00,1.06,2.83%,0.00,0.12%,1.70%,0.05%,2.16%,0.04%,0.44%,0.02%,0.29%,0.02%,0.16%,0.02%,0.13%,0.02%,0.18%,0.01%,0.18%,0.01%,0.11%,0.02%,0.10%,0.01%,0.15%,0.02%,0.12%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.56,121.62,123.10,4.14,4.49,5.15,2.96%,1.22,0.12%,2.10%,0.05%,1.93%,0.04%,0.59%,0.02%,0.35%,0.02%,0.12%,0.02%,0.16%,0.01%,0.23%,0.01%,0.07%,0.01%,0.13%,0.01%,0.08%,0.01%,0.05%,0.01%,0.07%,0.03,0.91,0.02,0.71,0.02,0.37,0.02,0.13,0.01,0.04,0.01,0.05,0.01,0.06,0.01,0.04,0.01,0.02,0.01,0.03,0.00,0.03,0.00,0.01,244.04,245.60,246.32,0.00,0.00,0.00,2.83%,0.00,0.12%,1.89%,0.05%,2.00%,0.04%,0.49%,0.02%,0.32%,0.02%,0.11%,0.01%,0.03%,0.01%,0.19%,0.01%,0.08%,0.01%,0.05%,0.01%,0.03%,0.01%,0.07%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,552,0.889,480,204,59.94,59.99,60.05
24-Oct-2022 14:20:00,10.000,Y,121.72,124.14,125.54,0.00,0.00,1.04,2.74%,0.00,0.14%,1.55%,0.05%,2.14%,0.04%,0.46%,0.02%,0.33%,0.02%,0.16%,0.02%,0.09%,0.02%,0.16%,0.01%,0.19%,0.02%,0.10%,0.02%,0.08%,0.01%,0.16%,0.02%,0.10%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.54,121.30,123.58,4.02,4.72,14.19,3.05%,1.15,0.14%,2.15%,0.05%,2.02%,0.04%,0.57%,0.03%,0.30%,0.02%,0.09%,0.02%,0.17%,0.02%,0.26%,0.02%,0.06%,0.01%,0.09%,0.02%,0.10%,0.01%,0.06%,0.02%,0.05%,0.04,0.84,0.03,0.68,0.02,0.35,0.02,0.12,0.01,0.06,0.01,0.06,0.01,0.07,0.01,0.05,0.01,0.03,0.00,0.04,0.00,0.04,0.00,0.02,243.50,245.56,246.60,0.00,0.00,0.00,2.83%,0.00,0.14%,1.83%,0.05%,2.06%,0.04%,0.51%,0.02%,0.31%,0.02%,0.09%,0.02%,0.05%,0.01%,0.20%,0.01%,0.08%,0.01%,0.03%,0.01%,0.03%,0.01%,0.07%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576,0.884,504,228,59.94,60.00,60.10
24-Oct-2022 14:30:00,10.000,Y,121.78,123.92,125.54,0.00,0.00,0.13,2.77%,0.00,0.10%,1.58%,0.04%,2.17%,0.03%,0.42%,0.02%,0.26%,0.01%,0.15%,0.01%,0.13%,0.02%,0.16%,0.01%,0.19%,0.01%,0.11%,0.01%,0.07%,0.01%,0.14%,0.02%,0.09%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.78,120.02,122.84,4.16,6.05,13.65,3.08%,1.19,0.11%,2.14%,0.04%,2.06%,0.03%,0.59%,0.02%,0.32%,0.02%,0.07%,0.02%,0.22%,0.01%,0.26%,0.01%,0.07%,0.01%,0.11%,0.02%,0.11%,0.01%,0.05%,0.01%,0.08%,0.04,0.88,0.02,0.71,0.02,0.33,0.02,0.10,0.01,0.05,0.01,0.05,0.01,0.04,0.01,0.03,0.01,0.03,0.00,0.05,0.00,0.04,0.00,0.02,241.54,244.06,245.84,0.00,0.00,0.00,2.86%,0.00,0.10%,1.83%,0.04%,2.10%,0.03%,0.50%,0.02%,0.29%,0.01%,0.07%,0.01%,0.06%,0.01%,0.20%,0.01%,0.07%,0.01%,0.04%,0.01%,0.04%,0.01%,0.05%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,732,0.915,672,216,59.95,59.99,60.04
