Time,End,lat,lon,Phase C-A Avg Volts
25-10-2022 03:00:00,25-10-2022 03:00:00,09.99357,-85.28716,125.10
25-10-2022 04:00:00,25-10-2022 04:00:00,9.848634400644745,-84.31491096137044,120.04
25-10-2022 04:00:00,25-10-2022 04:00:00,10.71553,-85.62812,121.08
25-10-2022 04:00:00,25-10-2022 04:00:00,09.95461,-85.03797,119.76
25-10-2022 04:00:00,25-10-2022 04:00:00,09.99357,-85.28716,125.16
25-10-2022 05:00:00,25-10-2022 05:00:00,9.848634400644745,-84.31491096137044,119.66
25-10-2022 05:00:00,25-10-2022 05:00:00,10.71553,-85.62812,119.88
25-10-2022 05:00:00,25-10-2022 05:00:00,09.95461,-85.03797,119.44
25-10-2022 05:00:00,25-10-2022 05:00:00,09.99357,-85.28716,124.90
25-10-2022 06:00:00,25-10-2022 06:00:00,9.848634400644745,-84.31491096137044,115.60
25-10-2022 06:00:00,25-10-2022 06:00:00,10.71553,-85.62812,119.82
25-10-2022 06:00:00,25-10-2022 06:00:00,09.95461,-85.03797,117.90
25-10-2022 07:00:00,25-10-2022 07:00:00,9.848634400644745,-84.31491096137044,118.42
25-10-2022 07:00:00,25-10-2022 07:00:00,10.71553,-85.62812,120.06
25-10-2022 07:00:00,25-10-2022 07:00:00,09.95461,-85.03797,117.14
25-10-2022 07:00:00,25-10-2022 07:00:00,09.99357,-85.28716,123.66
25-10-2022 08:00:00,25-10-2022 08:00:00,9.848634400644745,-84.31491096137044,117.64
25-10-2022 08:00:00,25-10-2022 08:00:00,10.71553,-85.62812,119.22
25-10-2022 08:00:00,25-10-2022 08:00:00,09.95461,-85.03797,113.62
25-10-2022 08:00:00,25-10-2022 08:00:00,09.99357,-85.28716,123.04
25-10-2022 09:00:00,25-10-2022 09:00:00,9.848634400644745,-84.31491096137044,118.84
25-10-2022 09:00:00,25-10-2022 09:00:00,10.71553,-85.62812,120.24
25-10-2022 09:00:00,25-10-2022 09:00:00,09.95461,-85.03797,117.72
25-10-2022 09:00:00,25-10-2022 09:00:00,09.99357,-85.28716,122.26
25-10-2022 10:00:00,25-10-2022 10:00:00,9.848634400644745,-84.31491096137044,117.20
25-10-2022 10:00:00,25-10-2022 10:00:00,10.71553,-85.62812,119.74
25-10-2022 10:00:00,25-10-2022 10:00:00,09.95461,-85.03797,117.22
25-10-2022 10:00:00,25-10-2022 10:00:00,09.99357,-85.28716,121.88
25-10-2022 11:00:00,25-10-2022 11:00:00,9.848634400644745,-84.31491096137044,114.94
