0,Evento,Hora inicio,dato des,Valor máximo,Hora final,segundo dat,Duración
1,Caída U23,23.01.2018 11:23:23,403,201.350,23.01.2018 11:23:24,545,1s 141ms
2,Caída UL1,23.01.2018 11:23:23,411,100.873,23.01.2018 11:23:24,536,1s 125ms
3,Caída UL2,23.01.2018 11:23:23,411,100.700,23.01.2018 11:23:24,536,1s 125ms
4,Caída U12,23.01.2018 11:23:23,411,201.571,23.01.2018 11:23:24,536,1s 125ms
5,Caída UL3,23.01.2018 21:11:30,258,139.660,23.01.2018 21:11:30,325,0s 66ms
6,Caída U23,23.01.2018 21:11:30,258,127.213,23.01.2018 21:11:30,325,0s 66ms
7,Caída U31,23.01.2018 22:41:21,764,157.081,23.01.2018 22:41:21,823,0s 59ms
8,Caída UL3,23.01.2018 22:41:21,773,164.546,23.01.2018 22:41:21,814,0s 41ms
9,Caída UL1,25.01.2018 09:50:55,356,92.553,25.01.2018 09:50:55,390,0s 33ms
10,Caída UL1,25.01.2018 09:50:55,423,97.314,25.01.2018 09:50:55,448,0s 25ms
11,Caída UL1,25.01.2018 09:50:55,465,97.506,25.01.2018 09:50:55,498,0s 32ms
12,Caída UL1,25.01.2018 09:50:55,515,91.940,25.01.2018 09:50:55,615,0s 99ms
13,Caída UL1,25.01.2018 10:00:21,927,101.997,25.01.2018 10:00:21,935,0s 8ms
14,Caída UL1,25.01.2018 10:10:32,695,103.332,25.01.2018 10:10:32,703,0s 8ms
15,Caída UL1,25.01.2018 10:10:41,655,95.874,25.01.2018 10:10:41,672,0s 17ms
16,Caída U23,25.01.2018 16:33:57,547,205.519,25.01.2018 16:33:57,565,0s 17ms
17,Caída UL3,25.01.2018 16:33:57,557,178.626,25.01.2018 16:33:57,565,0s 7ms
18,Caída UL3,25.01.2018 16:38:12,756,180.028,25.01.2018 16:38:12,764,0s 8ms
19,Caída U31,25.01.2018 16:38:12,756,187.926,25.01.2018 16:38:12,772,0s 16ms
20,Caída UL2,25.01.2018 17:49:33,803,102.631,25.01.2018 17:49:34,145,0s 341ms
21,Caída U12,25.01.2018 17:49:33,820,205.536,25.01.2018 17:49:34,145,0s 325ms
22,Caída UL1,25.01.2018 17:49:33,828,102.906,25.01.2018 17:49:34,145,0s 316ms
23,Caída U31,25.01.2018 17:49:34,037,177.055,25.01.2018 17:49:34,153,0s 116ms
24,Caída UL3,25.01.2018 17:49:34,045,163.250,25.01.2018 17:49:34,153,0s 108ms
25,Caída U23,25.01.2018 17:49:34,078,207.408,25.01.2018 17:49:34,145,0s 66ms
26,Caída UL1,26.01.2018 06:58:52,495,94.086,26.01.2018 06:58:53,219,0s 724ms
27,Caída UL2,26.01.2018 06:58:52,495,93.933,26.01.2018 06:58:53,227,0s 732ms
28,Caída U12,26.01.2018 06:58:52,495,188.019,26.01.2018 06:58:53,227,0s 732ms
29,Caída U23,26.01.2018 06:58:52,495,186.687,26.01.2018 06:58:53,227,0s 732ms
30,Caída U31,26.01.2018 07:55:27,118,142.898,26.01.2018 07:55:27,967,0s 849ms
31,Caída UL3,26.01.2018 07:55:27,143,155.885,26.01.2018 07:55:27,967,0s 824ms
32,Caída U31,26.01.2018 15:08:28,940,206.554,26.01.2018 15:08:29,290,0s 350ms
33,Caída UL3,26.01.2018 20:16:45,582,0.019,26.01.2018 20:16:48,598,3s 16ms
34,Caída U31,26.01.2018 20:16:45,582,0.022,26.01.2018 20:16:48,616,3s 33ms
35,Caída UL1,26.01.2018 20:16:46,115,0.020,26.01.2018 20:16:48,682,2s 566ms
36,Caída UL2,26.01.2018 20:16:46,115,0.020,26.01.2018 20:16:48,698,2s 583ms
37,Caída U12,26.01.2018 20:16:46,115,0.018,26.01.2018 20:16:48,682,2s 566ms
38,Caída U23,26.01.2018 20:16:46,115,0.020,26.01.2018 20:16:48,616,2s 500ms
39,Caída UL1,27.01.2018 03:52:01,224,103.869,27.01.2018 03:52:01,240,0s 16ms
40,Caída UL2,27.01.2018 03:52:01,224,103.356,27.01.2018 03:52:01,240,0s 16ms
41,Caída U12,27.01.2018 03:52:01,224,207.223,27.01.2018 03:52:01,240,0s 16ms
42,Caída U31,27.01.2018 11:51:46,554,0.000,27.01.2018 11:58:10,096,6m 23s 541ms
43,Caída UL3,27.01.2018 11:51:46,562,0.000,27.01.2018 11:58:10,096,6m 23s 533ms
44,Caída UL1,27.01.2018 11:51:46,570,103.781,27.01.2018 11:51:46,604,0s 34ms
45,Caída UL2,27.01.2018 11:51:46,570,103.664,27.01.2018 11:51:46,604,0s 34ms
46,Caída U12,27.01.2018 11:51:46,570,207.444,27.01.2018 11:51:46,604,0s 34ms
47,Caída UL1,27.01.2018 11:51:46,803,0.000,27.01.2018 11:58:10,096,6m 23s 292ms
48,Caída UL2,27.01.2018 11:51:46,803,0.000,27.01.2018 11:58:10,096,6m 23s 292ms
49,Caída U12,27.01.2018 11:51:46,803,0.000,27.01.2018 11:58:10,096,6m 23s 292ms
50,Caída U23,27.01.2018 11:51:46,812,0.000,27.01.2018 11:58:10,096,6m 23s 283ms
51,Caída UL3,27.01.2018 12:20:21,497,176.942,27.01.2018 12:20:21,839,0s 342ms
52,Caída U23,27.01.2018 12:20:21,497,199.846,27.01.2018 12:20:21,839,0s 342ms
53,Caída U23,27.01.2018 12:20:22,356,191.983,27.01.2018 12:20:22,681,0s 324ms
54,Caída UL3,27.01.2018 12:20:22,364,173.621,27.01.2018 12:20:22,681,0s 316ms
55,Caída UL1,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
56,Caída UL2,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
57,Caída UL3,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
58,Caída U12,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
59,Caída U23,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
60,Caída U31,27.01.2018 13:29:21,422,0.000,27.01.2018 13:39:54,095,10m 32s 673ms
61,Caída UL1,27.01.2018 14:00:57,242,0.018,27.01.2018 14:01:28,205,30s 962ms
62,Caída UL2,27.01.2018 14:00:57,242,0.018,27.01.2018 14:01:30,373,33s 131ms
63,Caída U12,27.01.2018 14:00:57,242,0.017,27.01.2018 14:01:28,964,31s 721ms
64,Caída U31,27.01.2018 14:00:57,242,0.019,27.01.2018 14:01:22,642,25s 399ms
65,Caída UL3,27.01.2018 14:00:57,251,0.017,27.01.2018 14:01:22,667,25s 416ms
66,Caída U23,27.01.2018 14:00:57,251,0.019,27.01.2018 14:01:26,745,29s 494ms
67,Caída U23,27.01.2018 17:00:56,769,186.627,27.01.2018 17:00:57,144,0s 375ms
68,Caída U23,27.01.2018 17:00:57,853,185.977,27.01.2018 17:00:58,228,0s 375ms
69,Caída UL1,28.01.2018 19:06:56,380,96.316,28.01.2018 19:06:56,539,0s 159ms
70,Caída UL2,28.01.2018 19:06:56,380,95.809,28.01.2018 19:06:56,539,0s 159ms
71,Caída U12,28.01.2018 19:06:56,380,192.124,28.01.2018 19:06:56,539,0s 159ms
72,Caída U31,28.01.2018 19:06:56,389,197.883,28.01.2018 19:06:56,530,0s 141ms
73,Caída UL3,29.01.2018 02:01:39,550,0.021,29.01.2018 02:01:41,983,2s 432ms
74,Caída U23,29.01.2018 02:01:39,550,0.023,29.01.2018 02:01:41,983,2s 432ms
75,Caída U31,29.01.2018 02:01:39,733,0.022,29.01.2018 02:01:42,008,2s 274ms
76,Caída UL1,29.01.2018 02:01:39,858,0.020,29.01.2018 02:01:41,983,2s 124ms
77,Caída UL2,29.01.2018 02:01:39,858,0.019,29.01.2018 02:01:41,983,2s 124ms
78,Caída U12,29.01.2018 02:01:39,858,0.017,29.01.2018 02:01:41,983,2s 124ms
79,Caída UL1,29.01.2018 06:15:53,817,67.501,29.01.2018 06:15:54,008,0s 191ms
80,Caída UL2,29.01.2018 06:15:53,817,67.496,29.01.2018 06:15:54,008,0s 191ms
81,Caída U12,29.01.2018 06:15:53,817,134.997,29.01.2018 06:15:54,008,0s 191ms
82,Caída UL1,29.01.2018 06:16:00,600,63.171,29.01.2018 06:16:00,759,0s 158ms
83,Caída UL2,29.01.2018 06:16:00,600,63.162,29.01.2018 06:16:00,759,0s 158ms
84,Caída U12,29.01.2018 06:16:00,600,126.333,29.01.2018 06:16:00,759,0s 158ms
85,Caída UL3,29.01.2018 07:52:04,955,173.776,29.01.2018 07:52:04,963,0s 8ms
86,Caída U31,29.01.2018 07:52:04,955,181.685,29.01.2018 07:52:04,971,0s 16ms
87,Caída UL1,30.01.2018 06:26:03,020,79.750,30.01.2018 06:26:03,037,0s 16ms
88,Caída UL2,30.01.2018 06:26:03,020,79.761,30.01.2018 06:26:03,037,0s 16ms
89,Caída U12,30.01.2018 06:26:03,020,159.511,30.01.2018 06:26:03,037,0s 16ms
90,Caída UL3,30.01.2018 09:18:17,389,167.207,30.01.2018 09:18:17,424,0s 34ms
91,Caída U23,30.01.2018 09:18:17,389,194.543,30.01.2018 09:18:17,415,0s 25ms
