Time,Interval (mins),Complete,Phase C-A Min Volts,Phase C-A Avg Volts,Phase C-A Max Volts,Phase A Min Amps,Phase A Avg Amps,Phase A Max Amps,Phase C-A Voltage THD,Phase A Harmonic Current (A),Phase C-A V-Harmonic 2nd,Phase C-A V-Harmonic 3rd,Phase C-A V-Harmonic 4th,Phase C-A V-Harmonic 5th,Phase C-A V-Harmonic 6th,Phase C-A V-Harmonic 7th,Phase C-A V-Harmonic 8th,Phase C-A V-Harmonic 9th,Phase C-A V-Harmonic 10th,Phase C-A V-Harmonic 11th,Phase C-A V-Harmonic 12th,Phase C-A V-Harmonic 13th,Phase C-A V-Harmonic 14th,Phase C-A V-Harmonic 15th,Phase C-A V-Harmonic 16th,Phase C-A V-Harmonic 17th,Phase C-A V-Harmonic 18th,Phase C-A V-Harmonic 19th,Phase C-A V-Harmonic 20th,Phase C-A V-Harmonic 21st,Phase C-A V-Harmonic 22nd,Phase C-A V-Harmonic 23rd,Phase C-A V-Harmonic 24th,Phase C-A V-Harmonic 25th,Phase A I-Harmonic 2nd (A),Phase A I-Harmonic 3rd (A),Phase A I-Harmonic 4th (A),Phase A I-Harmonic 5th (A),Phase A I-Harmonic 6th (A),Phase A I-Harmonic 7th (A),Phase A I-Harmonic 8th (A),Phase A I-Harmonic 9th (A),Phase A I-Harmonic 10th (A),Phase A I-Harmonic 11th (A),Phase A I-Harmonic 12th (A),Phase A I-Harmonic 13th (A),Phase A I-Harmonic 14th (A),Phase A I-Harmonic 15th (A),Phase A I-Harmonic 16th (A),Phase A I-Harmonic 17th (A),Phase A I-Harmonic 18th (A),Phase A I-Harmonic 19th (A),Phase A I-Harmonic 20th (A),Phase A I-Harmonic 21st (A),Phase A I-Harmonic 22nd (A),Phase A I-Harmonic 23rd (A),Phase A I-Harmonic 24th (A),Phase A I-Harmonic 25th (A),Phase B-C Min Volts,Phase B-C Avg Volts,Phase B-C Max Volts,Phase B Min Amps,Phase B Avg Amps,Phase B Max Amps,Phase B-C Voltage THD,Phase B Harmonic Current (A),Phase B-C V-Harmonic 2nd,Phase B-C V-Harmonic 3rd,Phase B-C V-Harmonic 4th,Phase B-C V-Harmonic 5th,Phase B-C V-Harmonic 6th,Phase B-C V-Harmonic 7th,Phase B-C V-Harmonic 8th,Phase B-C V-Harmonic 9th,Phase B-C V-Harmonic 10th,Phase B-C V-Harmonic 11th,Phase B-C V-Harmonic 12th,Phase B-C V-Harmonic 13th,Phase B-C V-Harmonic 14th,Phase B-C V-Harmonic 15th,Phase B-C V-Harmonic 16th,Phase B-C V-Harmonic 17th,Phase B-C V-Harmonic 18th,Phase B-C V-Harmonic 19th,Phase B-C V-Harmonic 20th,Phase B-C V-Harmonic 21st,Phase B-C V-Harmonic 22nd,Phase B-C V-Harmonic 23rd,Phase B-C V-Harmonic 24th,Phase B-C V-Harmonic 25th,Phase B I-Harmonic 2nd (A),Phase B I-Harmonic 3rd (A),Phase B I-Harmonic 4th (A),Phase B I-Harmonic 5th (A),Phase B I-Harmonic 6th (A),Phase B I-Harmonic 7th (A),Phase B I-Harmonic 8th (A),Phase B I-Harmonic 9th (A),Phase B I-Harmonic 10th (A),Phase B I-Harmonic 11th (A),Phase B I-Harmonic 12th (A),Phase B I-Harmonic 13th (A),Phase B I-Harmonic 14th (A),Phase B I-Harmonic 15th (A),Phase B I-Harmonic 16th (A),Phase B I-Harmonic 17th (A),Phase B I-Harmonic 18th (A),Phase B I-Harmonic 19th (A),Phase B I-Harmonic 20th (A),Phase B I-Harmonic 21st (A),Phase B I-Harmonic 22nd (A),Phase B I-Harmonic 23rd (A),Phase B I-Harmonic 24th (A),Phase B I-Harmonic 25th (A),Phase A-B Min Volts,Phase A-B Avg Volts,Phase A-B Max Volts,Phase C Min Amps,Phase C Avg Amps,Phase C Max Amps,Phase A-B Voltage THD,Phase C Harmonic Current (A),Phase A-B V-Harmonic 2nd,Phase A-B V-Harmonic 3rd,Phase A-B V-Harmonic 4th,Phase A-B V-Harmonic 5th,Phase A-B V-Harmonic 6th,Phase A-B V-Harmonic 7th,Phase A-B V-Harmonic 8th,Phase A-B V-Harmonic 9th,Phase A-B V-Harmonic 10th,Phase A-B V-Harmonic 11th,Phase A-B V-Harmonic 12th,Phase A-B V-Harmonic 13th,Phase A-B V-Harmonic 14th,Phase A-B V-Harmonic 15th,Phase A-B V-Harmonic 16th,Phase A-B V-Harmonic 17th,Phase A-B V-Harmonic 18th,Phase A-B V-Harmonic 19th,Phase A-B V-Harmonic 20th,Phase A-B V-Harmonic 21st,Phase A-B V-Harmonic 22nd,Phase A-B V-Harmonic 23rd,Phase A-B V-Harmonic 24th,Phase A-B V-Harmonic 25th,Phase C I-Harmonic 2nd (A),Phase C I-Harmonic 3rd (A),Phase C I-Harmonic 4th (A),Phase C I-Harmonic 5th (A),Phase C I-Harmonic 6th (A),Phase C I-Harmonic 7th (A),Phase C I-Harmonic 8th (A),Phase C I-Harmonic 9th (A),Phase C I-Harmonic 10th (A),Phase C I-Harmonic 11th (A),Phase C I-Harmonic 12th (A),Phase C I-Harmonic 13th (A),Phase C I-Harmonic 14th (A),Phase C I-Harmonic 15th (A),Phase C I-Harmonic 16th (A),Phase C I-Harmonic 17th (A),Phase C I-Harmonic 18th (A),Phase C I-Harmonic 19th (A),Phase C I-Harmonic 20th (A),Phase C I-Harmonic 21st (A),Phase C I-Harmonic 22nd (A),Phase C I-Harmonic 23rd (A),Phase C I-Harmonic 24th (A),Phase C I-Harmonic 25th (A),Total Apparent Power (VA),Total PF (Lagging is +),Total Real Power (W),Total Reactive Power (VAR),Min Frequency (Hz),Avg Frequency (Hz),Max Frequency (Hz)
23-Jul-2018 09:10:00,10.000,Y,116.68,118.34,119.16,6.29,6.67,6.96,2.14%,2.42,0.12%,1.27%,0.05%,1.31%,0.03%,0.78%,0.03%,0.55%,0.02%,0.36%,0.02%,0.25%,0.02%,0.28%,0.02%,0.14%,0.01%,0.02%,0.01%,0.09%,0.01%,0.09%,0.01%,0.03%,0.11,1.92,0.07,1.30,0.05,0.61,0.04,0.18,0.03,0.07,0.02,0.15,0.02,0.14,0.02,0.07,0.02,0.03,0.01,0.08,0.01,0.08,0.01,0.05,117.20,118.52,119.46,0.46,0.59,0.74,1.92%,0.28,0.13%,1.08%,0.05%,1.14%,0.04%,0.83%,0.03%,0.54%,0.02%,0.26%,0.02%,0.30%,0.02%,0.19%,0.02%,0.14%,0.02%,0.06%,0.01%,0.05%,0.01%,0.05%,0.01%,0.02%,0.00,0.19,0.00,0.13,0.00,0.10,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,233.92,235.56,236.38,0.00,0.00,0.00,2.02%,0.00,0.13%,1.17%,0.05%,1.22%,0.03%,0.80%,0.03%,0.54%,0.02%,0.31%,0.02%,0.27%,0.02%,0.23%,0.01%,0.13%,0.01%,0.04%,0.01%,0.07%,0.01%,0.07%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,840,0.850,720,300,59.94,60.00,60.05
23-Jul-2018 09:20:00,10.000,Y,116.78,118.44,119.22,1.11,5.13,6.81,2.21%,2.23,0.13%,1.36%,0.05%,1.31%,0.03%,0.79%,0.03%,0.59%,0.02%,0.36%,0.02%,0.26%,0.02%,0.29%,0.01%,0.16%,0.01%,0.03%,0.01%,0.10%,0.01%,0.10%,0.01%,0.03%,0.08,1.77,0.06,1.18,0.05,0.58,0.03,0.18,0.03,0.05,0.02,0.14,0.02,0.13,0.01,0.07,0.01,0.03,0.01,0.07,0.01,0.07,0.01,0.04,116.74,118.44,119.48,0.46,0.58,0.74,1.96%,0.28,0.12%,1.12%,0.05%,1.16%,0.03%,0.83%,0.03%,0.53%,0.02%,0.27%,0.02%,0.30%,0.02%,0.22%,0.01%,0.11%,0.01%,0.10%,0.01%,0.03%,0.01%,0.07%,0.01%,0.02%,0.00,0.19,0.00,0.13,0.00,0.10,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.03,232.90,235.56,236.40,0.00,0.00,0.00,2.07%,0.00,0.13%,1.24%,0.05%,1.23%,0.03%,0.81%,0.02%,0.56%,0.02%,0.31%,0.02%,0.28%,0.01%,0.25%,0.01%,0.13%,0.01%,0.06%,0.01%,0.07%,0.01%,0.08%,0.01%,0.02%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,660,0.832,552,180,59.95,60.00,60.05
23-Jul-2018 09:30:00,10.000,Y,116.38,118.40,119.02,0.91,2.53,26.73,1.97%,0.45,0.12%,1.23%,0.05%,1.13%,0.03%,0.68%,0.02%,0.58%,0.02%,0.35%,0.02%,0.23%,0.01%,0.24%,0.01%,0.12%,0.01%,0.03%,0.01%,0.06%,0.01%,0.05%,0.01%,0.02%,0.03,0.37,0.01,0.22,0.01,0.10,0.01,0.04,0.00,0.01,0.00,0.03,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,116.46,117.82,118.92,0.45,0.59,0.75,2.05%,0.28,0.12%,1.18%,0.04%,1.21%,0.03%,0.87%,0.02%,0.54%,0.02%,0.27%,0.02%,0.31%,0.02%,0.23%,0.01%,0.12%,0.01%,0.10%,0.01%,0.05%,0.01%,0.08%,0.01%,0.03%,0.00,0.18,0.00,0.12,0.00,0.10,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,232.22,234.92,235.98,0.00,0.00,0.00,2.00%,0.00,0.12%,1.21%,0.04%,1.17%,0.03%,0.77%,0.02%,0.55%,0.02%,0.30%,0.01%,0.27%,0.01%,0.23%,0.01%,0.12%,0.01%,0.06%,0.01%,0.05%,0.01%,0.06%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,348,0.866,288,144,59.94,59.99,60.04
23-Jul-2018 09:40:00,10.000,Y,116.68,118.00,118.76,5.56,6.27,7.47,2.20%,2.10,0.12%,1.34%,0.04%,1.28%,0.03%,0.78%,0.03%,0.63%,0.02%,0.37%,0.02%,0.28%,0.01%,0.30%,0.01%,0.15%,0.01%,0.03%,0.01%,0.10%,0.01%,0.10%,0.01%,0.04%,0.09,1.66,0.05,1.11,0.04,0.54,0.03,0.21,0.02,0.06,0.02,0.12,0.02,0.14,0.01,0.08,0.01,0.03,0.01,0.07,0.01,0.07,0.01,0.04,116.20,118.06,118.72,0.47,0.61,0.79,1.95%,0.29,0.12%,1.16%,0.04%,1.13%,0.03%,0.83%,0.02%,0.51%,0.02%,0.27%,0.02%,0.29%,0.02%,0.20%,0.01%,0.10%,0.01%,0.08%,0.01%,0.03%,0.01%,0.05%,0.01%,0.03%,0.00,0.21,0.00,0.13,0.00,0.10,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,231.62,234.74,235.54,0.00,0.00,0.00,2.06%,0.00,0.12%,1.25%,0.04%,1.20%,0.03%,0.80%,0.02%,0.57%,0.02%,0.32%,0.02%,0.28%,0.01%,0.24%,0.01%,0.12%,0.01%,0.05%,0.01%,0.06%,0.01%,0.07%,0.01%,0.03%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,792,0.849,672,312,59.95,60.00,60.05
23-Jul-2018 09:50:00,10.000,Y,116.58,118.32,119.38,3.71,5.01,7.94,2.18%,2.17,0.12%,1.30%,0.05%,1.28%,0.03%,0.79%,0.03%,0.64%,0.02%,0.38%,0.02%,0.26%,0.01%,0.29%,0.01%,0.17%,0.01%,0.04%,0.01%,0.09%,0.01%,0.11%,0.01%,0.05%,0.07,1.74,0.05,1.13,0.04,0.55,0.03,0.18,0.02,0.06,0.02,0.11,0.02,0.12,0.01,0.07,0.01,0.03,0.01,0.06,0.01,0.07,0.01,0.05,115.68,117.32,118.38,0.53,0.64,0.79,1.99%,0.30,0.12%,1.21%,0.05%,1.15%,0.03%,0.81%,0.02%,0.52%,0.02%,0.25%,0.02%,0.27%,0.02%,0.21%,0.01%,0.10%,0.01%,0.09%,0.01%,0.04%,0.01%,0.05%,0.01%,0.03%,0.00,0.22,0.00,0.13,0.00,0.09,0.00,0.07,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,231.82,234.32,235.34,0.00,0.00,0.00,2.07%,0.00,0.12%,1.26%,0.04%,1.21%,0.03%,0.80%,0.02%,0.58%,0.02%,0.31%,0.02%,0.26%,0.01%,0.25%,0.01%,0.13%,0.01%,0.06%,0.01%,0.06%,0.01%,0.08%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,660,0.830,540,168,59.95,60.00,60.06
23-Jul-2018 10:00:00,10.000,Y,116.20,118.34,122.54,3.53,4.25,29.00,2.27%,2.18,0.14%,1.39%,0.05%,1.32%,0.04%,0.80%,0.03%,0.64%,0.02%,0.35%,0.02%,0.24%,0.02%,0.30%,0.01%,0.17%,0.02%,0.05%,0.01%,0.10%,0.01%,0.12%,0.01%,0.06%,0.06,1.75,0.05,1.13,0.04,0.56,0.03,0.17,0.03,0.04,0.02,0.11,0.02,0.12,0.01,0.08,0.01,0.02,0.01,0.06,0.01,0.07,0.01,0.05,115.64,117.82,120.30,0.52,0.64,0.79,1.90%,0.30,0.14%,1.11%,0.05%,1.10%,0.04%,0.82%,0.03%,0.51%,0.02%,0.22%,0.02%,0.24%,0.02%,0.19%,0.02%,0.07%,0.01%,0.08%,0.01%,0.04%,0.01%,0.03%,0.01%,0.04%,0.00,0.22,0.00,0.13,0.00,0.09,0.00,0.07,0.00,0.04,0.00,0.03,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,231.46,234.84,241.46,0.00,0.00,0.00,2.07%,0.00,0.14%,1.25%,0.05%,1.21%,0.03%,0.81%,0.03%,0.57%,0.02%,0.28%,0.02%,0.23%,0.01%,0.24%,0.01%,0.12%,0.01%,0.06%,0.01%,0.05%,0.01%,0.08%,0.01%,0.04%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576,0.821,468,96,59.95,60.01,60.06
23-Jul-2018 10:10:00,10.000,Y,117.90,119.80,120.60,4.03,5.94,7.76,2.25%,1.74,0.10%,1.33%,0.04%,1.58%,0.03%,0.67%,0.02%,0.50%,0.02%,0.07%,0.01%,0.07%,0.01%,0.26%,0.01%,0.11%,0.01%,0.05%,0.01%,0.08%,0.01%,0.08%,0.01%,0.08%,0.08,1.39,0.05,0.93,0.03,0.43,0.02,0.11,0.02,0.04,0.02,0.10,0.01,0.09,0.01,0.06,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.03,115.80,117.98,119.34,0.51,0.64,0.78,2.10%,0.31,0.10%,1.13%,0.04%,1.50%,0.03%,0.78%,0.02%,0.42%,0.02%,0.10%,0.02%,0.10%,0.02%,0.16%,0.02%,0.02%,0.02%,0.07%,0.01%,0.05%,0.01%,0.04%,0.02%,0.05%,0.00,0.23,0.00,0.14,0.00,0.10,0.00,0.08,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,233.22,236.46,237.52,0.00,0.00,0.00,2.16%,0.00,0.10%,1.23%,0.03%,1.53%,0.03%,0.72%,0.02%,0.46%,0.02%,0.02%,0.01%,0.06%,0.01%,0.21%,0.01%,0.05%,0.01%,0.04%,0.01%,0.06%,0.01%,0.05%,0.01%,0.06%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,768,0.844,648,312,59.93,59.98,60.04
23-Jul-2018 10:20:00,10.000,Y,117.56,119.20,120.66,3.34,4.12,7.53,2.21%,0.63,0.11%,1.30%,0.04%,1.56%,0.03%,0.67%,0.02%,0.48%,0.02%,0.06%,0.01%,0.06%,0.01%,0.24%,0.01%,0.08%,0.01%,0.05%,0.01%,0.06%,0.01%,0.07%,0.01%,0.06%,0.07,0.49,0.02,0.32,0.01,0.16,0.01,0.05,0.00,0.03,0.00,0.05,0.00,0.04,0.00,0.03,0.00,0.02,0.00,0.03,0.00,0.02,0.00,0.02,116.94,118.96,119.76,0.50,0.63,0.78,2.19%,0.30,0.11%,1.18%,0.04%,1.58%,0.03%,0.79%,0.02%,0.41%,0.02%,0.10%,0.02%,0.08%,0.01%,0.20%,0.01%,0.02%,0.01%,0.08%,0.01%,0.04%,0.01%,0.03%,0.01%,0.06%,0.00,0.22,0.00,0.14,0.00,0.09,0.00,0.08,0.00,0.05,0.00,0.03,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,233.84,236.82,237.64,0.00,0.00,0.00,2.19%,0.00,0.11%,1.24%,0.04%,1.56%,0.03%,0.73%,0.02%,0.44%,0.02%,0.03%,0.01%,0.05%,0.01%,0.22%,0.01%,0.03%,0.01%,0.05%,0.01%,0.05%,0.01%,0.04%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,540,0.803,432,276,59.93,59.99,60.05
23-Jul-2018 10:30:00,10.000,Y,117.16,118.64,119.30,0.97,2.95,4.03,2.30%,1.50,0.13%,1.40%,0.06%,1.57%,0.03%,0.71%,0.03%,0.50%,0.02%,0.05%,0.02%,0.09%,0.01%,0.27%,0.01%,0.08%,0.01%,0.03%,0.01%,0.09%,0.01%,0.07%,0.01%,0.05%,0.05,1.20,0.04,0.78,0.03,0.38,0.02,0.11,0.01,0.04,0.01,0.09,0.01,0.10,0.01,0.06,0.01,0.02,0.01,0.05,0.01,0.05,0.01,0.03,117.54,119.36,119.96,0.49,0.61,0.77,2.08%,0.29,0.13%,1.16%,0.05%,1.46%,0.03%,0.77%,0.02%,0.41%,0.02%,0.10%,0.02%,0.05%,0.02%,0.19%,0.01%,0.05%,0.01%,0.06%,0.01%,0.05%,0.01%,0.02%,0.01%,0.07%,0.00,0.21,0.00,0.13,0.00,0.09,0.00,0.08,0.00,0.06,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.03,233.86,236.68,237.44,0.00,0.00,0.00,2.17%,0.00,0.13%,1.27%,0.05%,1.51%,0.03%,0.73%,0.02%,0.44%,0.02%,0.03%,0.01%,0.06%,0.01%,0.22%,0.01%,0.03%,0.01%,0.04%,0.01%,0.05%,0.01%,0.04%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,408,0.843,348,60,59.95,60.00,60.05
23-Jul-2018 10:40:00,10.000,Y,116.36,118.44,119.00,0.97,2.74,26.85,2.22%,0.66,0.13%,1.41%,0.05%,1.44%,0.04%,0.70%,0.02%,0.49%,0.02%,0.08%,0.02%,0.06%,0.01%,0.24%,0.01%,0.07%,0.01%,0.03%,0.01%,0.07%,0.01%,0.05%,0.01%,0.04%,0.03,0.50,0.01,0.34,0.01,0.17,0.01,0.07,0.01,0.03,0.00,0.05,0.00,0.05,0.00,0.04,0.00,0.02,0.00,0.03,0.00,0.03,0.00,0.02,117.84,119.36,120.62,0.48,0.60,0.77,2.14%,0.29,0.13%,1.18%,0.05%,1.48%,0.04%,0.83%,0.02%,0.44%,0.02%,0.09%,0.02%,0.07%,0.02%,0.21%,0.01%,0.04%,0.01%,0.06%,0.01%,0.05%,0.01%,0.02%,0.01%,0.07%,0.00,0.20,0.00,0.13,0.00,0.10,0.00,0.09,0.00,0.06,0.00,0.04,0.00,0.03,0.00,0.03,0.00,0.04,0.00,0.04,0.00,0.03,0.00,0.03,233.40,236.48,237.12,0.00,0.00,0.00,2.16%,0.00,0.13%,1.29%,0.05%,1.46%,0.03%,0.76%,0.02%,0.45%,0.02%,0.03%,0.02%,0.05%,0.01%,0.22%,0.01%,0.03%,0.01%,0.04%,0.01%,0.05%,0.01%,0.03%,0.01%,0.05%,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,372,0.883,324,144,59.93,60.00,60.05
