0,Evento,Hora inicio,dato des,Valor máximo,Hora final,segundo dat,Duración
1,Interrupción voltaje UL3,26.01.2018 20:16:46,182,17.554,26.01.2018 20:16:46,298,0s 116ms
2,Interrupción voltaje UL3,26.01.2018 20:16:46,332,20.738,26.01.2018 20:16:46,340,0s 8ms
3,Interrupción voltaje UL1,26.01.2018 20:16:46,656,7.106,26.01.2018 20:16:47,131,0s 475ms
4,Interrupción voltaje UL2,26.01.2018 20:16:46,656,7.121,26.01.2018 20:16:47,131,0s 475ms
5,Interrupción de voltaje U12,26.01.2018 20:16:46,656,14.223,26.01.2018 20:16:47,131,0s 475ms
6,Interrupción de voltaje U23,26.01.2018 20:16:46,656,20.126,26.01.2018 20:16:46,698,0s 42ms
7,Interrupción de voltaje U23,26.01.2018 20:16:46,715,23.607,26.01.2018 20:16:46,740,0s 24ms
8,Interrupción de voltaje U31,26.01.2018 20:16:47,131,22.846,26.01.2018 20:16:47,156,0s 24ms
9,Interrupción voltaje UL1,26.01.2018 20:16:47,264,8.275,26.01.2018 20:16:47,356,0s 91ms
10,Interrupción voltaje UL2,26.01.2018 20:16:47,264,8.284,26.01.2018 20:16:47,356,0s 91ms
11,Interrupción de voltaje U12,26.01.2018 20:16:47,264,16.555,26.01.2018 20:16:47,356,0s 91ms
12,Interrupción voltaje UL1,26.01.2018 20:16:47,556,7.715,26.01.2018 20:16:47,723,0s 167ms
13,Interrupción voltaje UL2,26.01.2018 20:16:47,556,7.713,26.01.2018 20:16:47,723,0s 167ms
14,Interrupción de voltaje U12,26.01.2018 20:16:47,556,15.427,26.01.2018 20:16:47,723,0s 167ms
15,Interrupción voltaje UL1,26.01.2018 20:16:47,981,0.020,26.01.2018 20:16:48,573,0s 591ms
16,Interrupción voltaje UL2,26.01.2018 20:16:47,981,0.020,26.01.2018 20:16:48,573,0s 591ms
17,Interrupción de voltaje U12,26.01.2018 20:16:47,981,0.018,26.01.2018 20:16:48,573,0s 591ms
18,Interrupción de voltaje U23,26.01.2018 20:16:48,024,0.020,26.01.2018 20:16:48,573,0s 549ms
19,Interrupción de voltaje U31,26.01.2018 20:16:48,024,0.022,26.01.2018 20:16:48,573,0s 549ms
20,Interrupción voltaje UL3,26.01.2018 20:16:48,032,0.019,26.01.2018 20:16:48,573,0s 541ms
21,Interrupción voltaje UL1,27.01.2018 11:51:46,978,0.000,27.01.2018 11:58:10,096,6m 23s 118ms
22,Interrupción voltaje UL2,27.01.2018 11:51:46,978,0.000,27.01.2018 11:58:10,096,6m 23s 118ms
23,Interrupción de voltaje U12,27.01.2018 11:51:46,978,0.000,27.01.2018 11:58:10,096,6m 23s 118ms
24,Interrupción de voltaje U31,27.01.2018 11:51:46,978,7.419,27.01.2018 11:51:47,045,0s 67ms
25,Interrupción voltaje UL3,27.01.2018 11:51:46,987,5.675,27.01.2018 11:51:47,045,0s 58ms
26,Interrupción de voltaje U23,27.01.2018 11:51:46,987,0.000,27.01.2018 11:58:10,096,6m 23s 108ms
27,Interrupción voltaje UL3,27.01.2018 11:51:47,062,0.000,27.01.2018 11:58:10,096,6m 23s 33ms
28,Interrupción de voltaje U31,27.01.2018 11:51:47,062,0.000,27.01.2018 11:58:10,096,6m 23s 33ms
29,Interrupción voltaje UL3,27.01.2018 13:29:21,530,0.000,27.01.2018 13:39:54,095,10m 32s 565ms
30,Interrupción de voltaje U23,27.01.2018 13:29:21,539,0.000,27.01.2018 13:39:54,095,10m 32s 555ms
31,Interrupción de voltaje U31,27.01.2018 13:29:21,539,0.000,27.01.2018 13:39:54,095,10m 32s 555ms
32,Interrupción voltaje UL1,27.01.2018 13:29:21,554,0.000,27.01.2018 13:39:54,095,10m 32s 540ms
33,Interrupción voltaje UL2,27.01.2018 13:29:21,554,0.000,27.01.2018 13:39:54,095,10m 32s 540ms
34,Interrupción de voltaje U12,27.01.2018 13:29:21,554,0.000,27.01.2018 13:39:54,095,10m 32s 540ms
35,Interrupción voltaje UL3,27.01.2018 14:00:57,350,0.017,27.01.2018 14:01:22,433,25s 82ms
36,Interrupción de voltaje U23,27.01.2018 14:00:57,350,0.019,27.01.2018 14:01:22,433,25s 82ms
37,Interrupción de voltaje U31,27.01.2018 14:00:57,367,0.019,27.01.2018 14:01:22,433,25s 65ms
38,Interrupción voltaje UL1,27.01.2018 14:00:57,401,0.018,27.01.2018 14:01:22,442,25s 40ms
39,Interrupción voltaje UL2,27.01.2018 14:00:57,401,0.018,27.01.2018 14:01:22,442,25s 40ms
40,Interrupción de voltaje U12,27.01.2018 14:00:57,401,0.017,27.01.2018 14:01:22,442,25s 40ms
41,Interrupción de voltaje U23,29.01.2018 02:01:39,933,0.023,29.01.2018 02:01:41,966,2s 32ms
42,Interrupción voltaje UL3,29.01.2018 02:01:39,941,0.021,29.01.2018 02:01:41,966,2s 25ms
43,Interrupción voltaje UL1,29.01.2018 02:01:39,983,0.020,29.01.2018 02:01:41,966,1s 983ms
44,Interrupción voltaje UL2,29.01.2018 02:01:39,983,0.019,29.01.2018 02:01:41,966,1s 983ms
45,Interrupción de voltaje U12,29.01.2018 02:01:39,983,0.017,29.01.2018 02:01:41,966,1s 983ms
46,Interrupción de voltaje U31,29.01.2018 02:01:39,983,0.022,29.01.2018 02:01:41,966,1s 983ms
