0,Evento,Hora inicio,dato des,Valor máximo,Hora final,segundo dat,Duración
1,Caída UL1,23.01.2018 21:12:23,237,100.765,23.01.2018 21:12:23,287,0s 49ms
2,Caída UL2,23.01.2018 21:12:23,237,100.671,23.01.2018 21:12:23,287,0s 49ms
3,Caída U12,23.01.2018 21:12:23,237,201.449,23.01.2018 21:12:23,287,0s 49ms
4,Caída U23,23.01.2018 22:42:14,707,185.409,23.01.2018 22:42:14,757,0s 50ms
5,Caída UL3,23.01.2018 22:42:14,716,168.546,23.01.2018 22:42:14,757,0s 41ms
6,Caída UL1,25.01.2018 16:34:48,706,98.729,25.01.2018 16:34:48,722,0s 15ms
7,Caída UL2,25.01.2018 16:34:48,706,98.687,25.01.2018 16:34:48,722,0s 15ms
8,Caída U12,25.01.2018 16:34:48,706,197.416,25.01.2018 16:34:48,722,0s 15ms
9,Caída UL1,25.01.2018 16:34:49,422,96.457,25.01.2018 16:34:49,439,0s 16ms
10,Caída UL2,25.01.2018 16:34:49,422,96.415,25.01.2018 16:34:49,439,0s 16ms
11,Caída U12,25.01.2018 16:34:49,422,192.872,25.01.2018 16:34:49,439,0s 16ms
12,Caída U23,25.01.2018 16:39:04,619,185.758,25.01.2018 16:39:04,636,0s 16ms
13,Caída UL3,25.01.2018 16:39:04,628,169.568,25.01.2018 16:39:04,636,0s 7ms
14,Caída UL3,25.01.2018 17:50:25,588,162.108,25.01.2018 17:50:25,988,0s 400ms
15,Caída U31,25.01.2018 17:50:25,655,206.974,25.01.2018 17:50:25,980,0s 325ms
16,Caída U23,25.01.2018 17:50:25,863,177.890,25.01.2018 17:50:25,988,0s 125ms
17,Caída UL1,26.01.2018 06:59:44,013,94.409,26.01.2018 06:59:44,754,0s 740ms
18,Caída UL2,26.01.2018 06:59:44,013,94.422,26.01.2018 06:59:44,754,0s 740ms
19,Caída U12,26.01.2018 06:59:44,013,188.830,26.01.2018 06:59:44,754,0s 740ms
20,Caída U31,26.01.2018 06:59:44,013,188.021,26.01.2018 06:59:44,746,0s 733ms
21,Caída U23,26.01.2018 07:56:18,643,189.329,26.01.2018 07:56:19,476,0s 833ms
22,Caída UL3,26.01.2018 07:56:18,651,171.515,26.01.2018 07:56:19,476,0s 825ms
23,Caída UL3,26.01.2018 15:09:20,221,177.784,26.01.2018 15:09:20,588,0s 367ms
24,Caída U23,26.01.2018 15:09:20,221,204.477,26.01.2018 15:09:20,588,0s 367ms
25,Caída U23,26.01.2018 20:17:36,722,107.148,26.01.2018 20:17:39,179,2s 457ms
26,Caída UL3,26.01.2018 20:17:36,730,90.194,26.01.2018 20:17:39,179,2s 449ms
27,Caída UL1,26.01.2018 20:17:37,255,54.824,26.01.2018 20:17:39,179,1s 924ms
28,Caída UL2,26.01.2018 20:17:37,255,54.828,26.01.2018 20:17:39,179,1s 924ms
29,Caída U12,26.01.2018 20:17:37,255,109.652,26.01.2018 20:17:39,179,1s 924ms
30,Caída U31,26.01.2018 20:17:37,780,103.811,26.01.2018 20:17:39,179,1s 399ms
31,Caída UL3,26.01.2018 20:17:39,721,177.165,26.01.2018 20:17:39,737,0s 16ms
32,Caída U23,26.01.2018 20:17:39,721,203.270,26.01.2018 20:17:39,737,0s 16ms
33,Caída U31,26.01.2018 20:17:39,729,203.752,26.01.2018 20:17:39,737,0s 7ms
34,Caída U23,27.01.2018 03:52:52,116,208.591,27.01.2018 03:52:52,216,0s 100ms
35,Caída UL3,27.01.2018 03:52:52,183,178.655,27.01.2018 03:52:52,216,0s 32ms
36,Caída U31,27.01.2018 03:52:52,191,206.984,27.01.2018 03:52:52,208,0s 16ms
37,Caída UL3,27.01.2018 11:52:37,340,0.000,27.01.2018 13:50:39,095,1h 58m 1s 754ms
38,Caída U23,27.01.2018 11:52:37,340,0.000,27.01.2018 13:50:39,095,1h 58m 1s 754ms
39,Caída U31,27.01.2018 11:52:37,590,0.000,27.01.2018 13:50:39,095,1h 58m 1s 504ms
40,Caída UL1,27.01.2018 11:52:37,598,0.000,27.01.2018 13:50:39,095,1h 58m 1s 496ms
41,Caída UL2,27.01.2018 11:52:37,598,0.000,27.01.2018 13:50:39,095,1h 58m 1s 496ms
42,Caída U12,27.01.2018 11:52:37,598,0.000,27.01.2018 13:50:39,095,1h 58m 1s 496ms
43,Caída U31,27.01.2018 14:02:12,097,208.163,27.01.2018 14:02:12,105,0s 7ms
44,Caída UL1,27.01.2018 17:01:46,325,95.097,27.01.2018 17:01:46,700,0s 375ms
45,Caída UL2,27.01.2018 17:01:46,325,95.036,27.01.2018 17:01:46,700,0s 375ms
46,Caída U12,27.01.2018 17:01:46,325,190.133,27.01.2018 17:01:46,700,0s 375ms
47,Caída UL1,27.01.2018 17:01:47,408,94.868,27.01.2018 17:01:47,783,0s 374ms
48,Caída UL2,27.01.2018 17:01:47,408,94.805,27.01.2018 17:01:47,783,0s 374ms
49,Caída U12,27.01.2018 17:01:47,408,189.673,27.01.2018 17:01:47,783,0s 374ms
50,Caída UL3,28.01.2018 19:07:45,263,154.005,28.01.2018 19:07:45,422,0s 158ms
51,Caída U23,28.01.2018 19:07:45,263,196.887,28.01.2018 19:07:45,422,0s 158ms
52,Caída U31,28.01.2018 19:07:45,263,194.547,28.01.2018 19:07:45,422,0s 158ms
53,Caída UL1,29.01.2018 02:02:28,264,0.020,29.01.2018 02:02:30,705,2s 440ms
54,Caída UL2,29.01.2018 02:02:28,264,0.021,29.01.2018 02:02:30,705,2s 440ms
55,Caída U12,29.01.2018 02:02:28,264,0.021,29.01.2018 02:02:30,705,2s 440ms
56,Caída U23,29.01.2018 02:02:28,389,0.026,29.01.2018 02:02:30,705,2s 315ms
57,Caída UL3,29.01.2018 02:02:28,581,0.026,29.01.2018 02:02:30,705,2s 124ms
58,Caída U31,29.01.2018 02:02:28,581,0.025,29.01.2018 02:02:30,705,2s 124ms
59,Caída U31,29.01.2018 06:16:42,461,203.434,29.01.2018 06:16:42,626,0s 165ms
60,Caída U31,29.01.2018 06:16:49,244,200.460,29.01.2018 06:16:49,377,0s 132ms
61,Caída UL3,29.01.2018 07:52:53,551,170.013,29.01.2018 07:52:53,567,0s 16ms
62,Caída U23,29.01.2018 07:52:53,551,187.095,29.01.2018 07:52:53,567,0s 16ms
63,Caída U31,30.01.2018 06:26:51,021,156.725,30.01.2018 06:26:51,046,0s 25ms
64,Caída UL3,30.01.2018 06:26:51,029,165.818,30.01.2018 06:26:51,037,0s 8ms
65,Caída UL1,30.01.2018 09:19:05,333,98.334,30.01.2018 09:19:05,358,0s 24ms
66,Caída UL2,30.01.2018 09:19:05,333,98.209,30.01.2018 09:19:05,358,0s 24ms
67,Caída U12,30.01.2018 09:19:05,333,196.543,30.01.2018 09:19:05,358,0s 24ms
68,Caída UL1,30.01.2018 10:55:23,825,89.067,30.01.2018 10:55:23,842,0s 16ms
69,Caída UL2,30.01.2018 10:55:23,825,89.017,30.01.2018 10:55:23,842,0s 16ms
70,Caída U12,30.01.2018 10:55:23,825,178.084,30.01.2018 10:55:23,842,0s 16ms
