0,Evento,Hora inicio,dato des,Valor máximo,Hora final,segundo dat,Duración
1,Caída UL2,18.02.2018 15:56:54,764,78.643,18.02.2018 15:56:54,782,0s 17ms
2,Caída UL2,19.02.2018 05:58:14,388,85.817,19.02.2018 05:58:14,405,0s 16ms
3,Caída UL3,20.02.2018 15:05:29,548,57.620,20.02.2018 15:05:29,614,0s 65ms
4,Caída UL1,21.02.2018 12:59:31,582,40.331,21.02.2018 12:59:31,665,0s 83ms
5,Caída UL2,21.02.2018 12:59:31,598,36.223,21.02.2018 12:59:31,690,0s 92ms
6,Caída UL2,21.02.2018 15:22:50,766,65.705,21.02.2018 15:22:50,824,0s 57ms
7,Caída UL3,23.02.2018 06:22:13,268,53.004,23.02.2018 06:22:13,944,0s 675ms
8,Caída UL2,23.02.2018 06:22:13,718,50.195,23.02.2018 06:22:13,952,0s 233ms
9,Caída UL1,23.02.2018 06:22:13,727,52.989,23.02.2018 06:22:13,944,0s 217ms
10,Caída UL3,23.02.2018 06:22:19,047,65.193,23.02.2018 06:22:19,764,0s 717ms
11,Caída UL3,23.02.2018 06:22:34,863,65.013,23.02.2018 06:22:35,589,0s 725ms
12,Caída UL3,23.02.2018 06:27:02,589,63.498,23.02.2018 06:27:03,339,0s 750ms
13,Caída UL3,23.02.2018 07:26:43,113,104.047,23.02.2018 07:26:43,121,0s 8ms
